Zone: zone_0_0
  Class: person, x: 87, y: 23, confidence: 0.54
  Class: person, x: 175, y: 89, confidence: 0.53
  Class: person, x: 214, y: 36, confidence: 0.52
  Class: person, x: 192, y: 44, confidence: 0.45
  Class: person, x: 143, y: 12, confidence: 0.43
  Class: person, x: 279, y: 21, confidence: 0.43
  Class: person, x: 200, y: 98, confidence: 0.43
  Class: person, x: 296, y: 93, confidence: 0.42
  Class: person, x: 314, y: 56, confidence: 0.39
  Class: person, x: 166, y: 56, confidence: 0.37
  Class: person, x: 256, y: 25, confidence: 0.36
  Class: person, x: 206, y: 45, confidence: 0.36
  Class: person, x: 237, y: 40, confidence: 0.36
  Class: person, x: 171, y: 41, confidence: 0.36
  Class: person, x: 331, y: 40, confidence: 0.32
  Class: person, x: 271, y: 75, confidence: 0.32
  Class: person, x: 181, y: 3, confidence: 0.32
  Class: person, x: 85, y: 45, confidence: 0.32
  Class: person, x: 141, y: 48, confidence: 0.3
  Class: person, x: 52, y: 6, confidence: 0.3
  Class: person, x: 179, y: 21, confidence: 0.3
  Class: person, x: 96, y: 35, confidence: 0.3
  Class: person, x: 300, y: 85, confidence: 0.3
  Class: person, x: 190, y: 11, confidence: 0.29
  Class: person, x: 345, y: 36, confidence: 0.28
  Class: person, x: 176, y: 10, confidence: 0.28
  Class: person, x: 319, y: 43, confidence: 0.28
  Class: person, x: 185, y: 77, confidence: 0.28
  Class: person, x: 227, y: 48, confidence: 0.28
  Class: person, x: 223, y: 8, confidence: 0.27
  Class: person, x: 256, y: 3, confidence: 0.27
  Class: person, x: 214, y: 54, confidence: 0.27
  Class: person, x: 16, y: 4, confidence: 0.27
  Class: person, x: 115, y: 98, confidence: 0.27
  Class: person, x: 352, y: 87, confidence: 0.27
  Class: person, x: 227, y: 55, confidence: 0.26
  Class: person, x: 253, y: 75, confidence: 0.26
  Class: person, x: 200, y: 84, confidence: 0.26
  Class: person, x: 333, y: 25, confidence: 0.26
  Class: person, x: 42, y: 83, confidence: 0.24
  Class: person, x: 355, y: 19, confidence: 0.24
  Class: person, x: 214, y: 43, confidence: 0.24
  Class: person, x: 205, y: 9, confidence: 0.23
  Class: person, x: 211, y: 51, confidence: 0.23
  Class: person, x: 169, y: 4, confidence: 0.23
  Class: person, x: 206, y: 20, confidence: 0.22
  Class: person, x: 241, y: 17, confidence: 0.22
  Class: person, x: 155, y: 6, confidence: 0.22
  Class: person, x: 125, y: 6, confidence: 0.22
  Class: person, x: 267, y: 13, confidence: 0.21
  Class: person, x: 196, y: 73, confidence: 0.21
  Class: person, x: 301, y: 39, confidence: 0.21
  Class: person, x: 293, y: 17, confidence: 0.21
  Class: person, x: 70, y: 7, confidence: 0.21
  Class: person, x: 13, y: 81, confidence: 0.2
  Class: person, x: 222, y: 25, confidence: 0.2
  Class: person, x: 226, y: 93, confidence: 0.2
  Class: person, x: 208, y: 77, confidence: 0.2
  Class: person, x: 177, y: 35, confidence: 0.2
  Class: person, x: 346, y: 28, confidence: 0.19
  Class: person, x: 6, y: 1, confidence: 0.19
  Class: person, x: 251, y: 95, confidence: 0.19
  Class: person, x: 165, y: 25, confidence: 0.19
  Class: person, x: 319, y: 85, confidence: 0.19
  Class: person, x: 299, y: 55, confidence: 0.19
  Class: person, x: 221, y: 71, confidence: 0.18
  Class: person, x: 238, y: 10, confidence: 0.18
  Class: person, x: 11, y: 34, confidence: 0.18
  Class: person, x: 219, y: 61, confidence: 0.17
  Class: person, x: 222, y: 77, confidence: 0.17
  Class: person, x: 193, y: 40, confidence: 0.17
  Class: person, x: 112, y: 32, confidence: 0.17
  Class: person, x: 64, y: 42, confidence: 0.17
  Class: person, x: 104, y: 59, confidence: 0.17
  Class: person, x: 58, y: 65, confidence: 0.16
  Class: person, x: 270, y: 93, confidence: 0.16
  Class: person, x: 256, y: 40, confidence: 0.16
  Class: person, x: 172, y: 23, confidence: 0.15
  Class: person, x: 6, y: 28, confidence: 0.15
  Class: person, x: 49, y: 32, confidence: 0.15
  Class: person, x: 337, y: 53, confidence: 0.15
  Class: person, x: 67, y: 91, confidence: 0.15
  Class: person, x: 105, y: 40, confidence: 0.15
  Class: person, x: 343, y: 61, confidence: 0.14
  Class: person, x: 246, y: 60, confidence: 0.14
  Class: person, x: 123, y: 47, confidence: 0.14
  Class: person, x: 3, y: 8, confidence: 0.14
  Class: person, x: 234, y: 75, confidence: 0.14
  Class: person, x: 182, y: 82, confidence: 0.14
  Class: person, x: 331, y: 34, confidence: 0.14
  Class: person, x: 79, y: 91, confidence: 0.14
  Class: person, x: 299, y: 34, confidence: 0.14
  Class: person, x: 206, y: 0, confidence: 0.13
  Class: person, x: 268, y: 26, confidence: 0.13
  Class: person, x: 30, y: 76, confidence: 0.13
  Class: person, x: 67, y: 4, confidence: 0.13
  Class: person, x: 276, y: 27, confidence: 0.13
  Class: person, x: 157, y: 44, confidence: 0.12
  Class: person, x: 301, y: 30, confidence: 0.12
  Class: person, x: 129, y: 34, confidence: 0.12
  Class: person, x: 274, y: 61, confidence: 0.12
  Class: person, x: 49, y: 24, confidence: 0.12
  Class: person, x: 93, y: 99, confidence: 0.12
  Class: person, x: 179, y: 44, confidence: 0.11
  Class: person, x: 307, y: 34, confidence: 0.11
  Class: person, x: 231, y: 15, confidence: 0.11
  Class: person, x: 346, y: 2, confidence: 0.11
  Class: person, x: 253, y: 16, confidence: 0.11
  Class: person, x: 62, y: 81, confidence: 0.11
  Class: person, x: 87, y: 60, confidence: 0.11
  Class: person, x: 120, y: 24, confidence: 0.1
  Class: person, x: 344, y: 51, confidence: 0.1
  Class: person, x: 15, y: 76, confidence: 0.1
  Class: person, x: 203, y: 51, confidence: 0.1
  Class: person, x: 341, y: 58, confidence: 0.1
  Class: person, x: 43, y: 48, confidence: 0.1
  Class: person, x: 4, y: 37, confidence: 0.1
  Class: person, x: 178, y: 55, confidence: 0.1
  Class: person, x: 16, y: 92, confidence: 0.1
  Class: person, x: 78, y: 100, confidence: 0.1
  Class: person, x: 164, y: 46, confidence: 0.1
  Class: person, x: 357, y: 81, confidence: 0.09
  Class: person, x: 243, y: 2, confidence: 0.09
  Class: person, x: 244, y: 33, confidence: 0.09
  Class: person, x: 54, y: 90, confidence: 0.09
  Class: person, x: 267, y: 42, confidence: 0.09
  Class: person, x: 283, y: 53, confidence: 0.09
  Class: person, x: 261, y: 98, confidence: 0.09
  Class: person, x: 229, y: 10, confidence: 0.09
  Class: person, x: 66, y: 50, confidence: 0.09
  Class: person, x: 199, y: 28, confidence: 0.09
  Class: person, x: 157, y: 40, confidence: 0.09
  Class: person, x: 31, y: 43, confidence: 0.08
  Class: person, x: 41, y: 38, confidence: 0.08
  Class: person, x: 154, y: 73, confidence: 0.08
  Class: person, x: 41, y: 25, confidence: 0.08
  Class: person, x: 4, y: 95, confidence: 0.08

Zone: zone_0_1
  Class: person, x: 779, y: 37, confidence: 0.71
  Class: person, x: 772, y: 46, confidence: 0.64
  Class: person, x: 775, y: 53, confidence: 0.64
  Class: person, x: 782, y: 48, confidence: 0.62
  Class: person, x: 763, y: 51, confidence: 0.62
  Class: person, x: 832, y: 68, confidence: 0.62
  Class: person, x: 791, y: 51, confidence: 0.61
  Class: person, x: 820, y: 82, confidence: 0.61
  Class: person, x: 732, y: 77, confidence: 0.6
  Class: person, x: 737, y: 68, confidence: 0.59
  Class: person, x: 734, y: 55, confidence: 0.58
  Class: person, x: 818, y: 55, confidence: 0.58
  Class: person, x: 725, y: 71, confidence: 0.56
  Class: person, x: 757, y: 33, confidence: 0.56
  Class: person, x: 828, y: 74, confidence: 0.55
  Class: person, x: 669, y: 63, confidence: 0.55
  Class: person, x: 753, y: 57, confidence: 0.55
  Class: person, x: 728, y: 62, confidence: 0.54
  Class: person, x: 817, y: 68, confidence: 0.54
  Class: person, x: 621, y: 84, confidence: 0.54
  Class: person, x: 755, y: 45, confidence: 0.53
  Class: person, x: 769, y: 60, confidence: 0.53
  Class: person, x: 675, y: 49, confidence: 0.52
  Class: person, x: 675, y: 54, confidence: 0.52
  Class: person, x: 806, y: 94, confidence: 0.51
  Class: person, x: 666, y: 56, confidence: 0.51
  Class: person, x: 802, y: 59, confidence: 0.51
  Class: person, x: 750, y: 62, confidence: 0.5
  Class: person, x: 819, y: 91, confidence: 0.5
  Class: person, x: 821, y: 62, confidence: 0.49
  Class: person, x: 806, y: 40, confidence: 0.48
  Class: person, x: 585, y: 74, confidence: 0.48
  Class: person, x: 780, y: 64, confidence: 0.48
  Class: person, x: 669, y: 71, confidence: 0.48
  Class: person, x: 694, y: 70, confidence: 0.46
  Class: person, x: 801, y: 69, confidence: 0.46
  Class: person, x: 594, y: 55, confidence: 0.46
  Class: person, x: 736, y: 46, confidence: 0.45
  Class: person, x: 830, y: 30, confidence: 0.44
  Class: person, x: 729, y: 33, confidence: 0.43
  Class: person, x: 764, y: 73, confidence: 0.43
  Class: person, x: 753, y: 51, confidence: 0.43
  Class: person, x: 750, y: 73, confidence: 0.42
  Class: person, x: 817, y: 44, confidence: 0.42
  Class: person, x: 663, y: 84, confidence: 0.42
  Class: person, x: 815, y: 40, confidence: 0.41
  Class: person, x: 801, y: 29, confidence: 0.41
  Class: person, x: 571, y: 66, confidence: 0.41
  Class: person, x: 626, y: 41, confidence: 0.41
  Class: person, x: 722, y: 45, confidence: 0.41
  Class: person, x: 792, y: 36, confidence: 0.39
  Class: person, x: 790, y: 96, confidence: 0.39
  Class: person, x: 805, y: 55, confidence: 0.39
  Class: person, x: 640, y: 35, confidence: 0.39
  Class: person, x: 800, y: 44, confidence: 0.38
  Class: person, x: 721, y: 55, confidence: 0.38
  Class: person, x: 583, y: 65, confidence: 0.38
  Class: person, x: 817, y: 50, confidence: 0.38
  Class: person, x: 535, y: 6, confidence: 0.38
  Class: person, x: 644, y: 71, confidence: 0.38
  Class: person, x: 592, y: 43, confidence: 0.37
  Class: person, x: 565, y: 35, confidence: 0.37
  Class: person, x: 804, y: 64, confidence: 0.37
  Class: person, x: 702, y: 41, confidence: 0.37
  Class: person, x: 496, y: 65, confidence: 0.36
  Class: person, x: 687, y: 51, confidence: 0.36
  Class: person, x: 774, y: 70, confidence: 0.36
  Class: person, x: 714, y: 74, confidence: 0.36
  Class: person, x: 710, y: 48, confidence: 0.35
  Class: person, x: 831, y: 89, confidence: 0.35
  Class: person, x: 803, y: 78, confidence: 0.35
  Class: person, x: 831, y: 20, confidence: 0.35
  Class: person, x: 705, y: 74, confidence: 0.34
  Class: person, x: 636, y: 58, confidence: 0.34
  Class: person, x: 654, y: 34, confidence: 0.34
  Class: person, x: 645, y: 89, confidence: 0.34
  Class: person, x: 599, y: 70, confidence: 0.33
  Class: person, x: 631, y: 64, confidence: 0.33
  Class: person, x: 813, y: 5, confidence: 0.32
  Class: person, x: 778, y: 3, confidence: 0.32
  Class: person, x: 655, y: 61, confidence: 0.32
  Class: person, x: 635, y: 50, confidence: 0.32
  Class: person, x: 715, y: 59, confidence: 0.31
  Class: person, x: 699, y: 60, confidence: 0.31
  Class: person, x: 483, y: 63, confidence: 0.31
  Class: person, x: 795, y: 83, confidence: 0.31
  Class: person, x: 832, y: 34, confidence: 0.3
  Class: person, x: 606, y: 44, confidence: 0.3
  Class: person, x: 832, y: 99, confidence: 0.3
  Class: person, x: 545, y: 84, confidence: 0.29
  Class: person, x: 675, y: 88, confidence: 0.28
  Class: person, x: 811, y: 86, confidence: 0.28
  Class: person, x: 656, y: 77, confidence: 0.28
  Class: person, x: 523, y: 25, confidence: 0.28
  Class: person, x: 765, y: 21, confidence: 0.28
  Class: person, x: 571, y: 23, confidence: 0.28
  Class: person, x: 486, y: 38, confidence: 0.28
  Class: person, x: 739, y: 1, confidence: 0.27
  Class: person, x: 642, y: 67, confidence: 0.27
  Class: person, x: 790, y: 15, confidence: 0.27
  Class: person, x: 571, y: 50, confidence: 0.27
  Class: person, x: 621, y: 35, confidence: 0.26
  Class: person, x: 780, y: 18, confidence: 0.26
