Zone: zone_0_0
  Class: person, x: 339, y: 65, confidence: 0.37
  Class: person, x: 322, y: 22, confidence: 0.32
  Class: person, x: 263, y: 64, confidence: 0.31
  Class: person, x: 352, y: 71, confidence: 0.29
  Class: person, x: 22, y: 81, confidence: 0.24
  Class: person, x: 289, y: 34, confidence: 0.22
  Class: person, x: 176, y: 61, confidence: 0.22
  Class: person, x: 240, y: 66, confidence: 0.22
  Class: person, x: 255, y: 80, confidence: 0.22
  Class: person, x: 281, y: 60, confidence: 0.21
  Class: person, x: 271, y: 53, confidence: 0.21
  Class: person, x: 334, y: 67, confidence: 0.2
  Class: person, x: 24, y: 100, confidence: 0.2
  Class: person, x: 304, y: 65, confidence: 0.19
  Class: person, x: 241, y: 63, confidence: 0.19
  Class: person, x: 195, y: 41, confidence: 0.18
  Class: person, x: 346, y: 72, confidence: 0.18
  Class: person, x: 169, y: 81, confidence: 0.18
  Class: person, x: 194, y: 83, confidence: 0.18
  Class: person, x: 297, y: 60, confidence: 0.17
  Class: person, x: 212, y: 90, confidence: 0.17
  Class: person, x: 299, y: 20, confidence: 0.17
  Class: person, x: 33, y: 80, confidence: 0.17
  Class: person, x: 291, y: 26, confidence: 0.16
  Class: person, x: 154, y: 43, confidence: 0.16
  Class: person, x: 265, y: 56, confidence: 0.16
  Class: person, x: 133, y: 50, confidence: 0.16
  Class: person, x: 182, y: 49, confidence: 0.16
  Class: person, x: 74, y: 74, confidence: 0.15
  Class: person, x: 196, y: 51, confidence: 0.15
  Class: person, x: 343, y: 28, confidence: 0.15
  Class: person, x: 164, y: 41, confidence: 0.15
  Class: person, x: 228, y: 84, confidence: 0.15
  Class: person, x: 234, y: 79, confidence: 0.15
  Class: person, x: 318, y: 66, confidence: 0.15
  Class: person, x: 141, y: 66, confidence: 0.15
  Class: person, x: 349, y: 54, confidence: 0.14
  Class: person, x: 307, y: 69, confidence: 0.14
  Class: person, x: 343, y: 78, confidence: 0.14
  Class: person, x: 55, y: 73, confidence: 0.14
  Class: person, x: 285, y: 66, confidence: 0.14
  Class: person, x: 216, y: 82, confidence: 0.14
  Class: person, x: 202, y: 71, confidence: 0.14
  Class: person, x: 262, y: 78, confidence: 0.13
  Class: person, x: 299, y: 52, confidence: 0.13
  Class: person, x: 97, y: 74, confidence: 0.13
  Class: person, x: 258, y: 59, confidence: 0.13
  Class: person, x: 248, y: 41, confidence: 0.13
  Class: person, x: 187, y: 83, confidence: 0.13
  Class: person, x: 127, y: 88, confidence: 0.13
  Class: person, x: 303, y: 56, confidence: 0.12
  Class: person, x: 327, y: 73, confidence: 0.12
  Class: person, x: 345, y: 62, confidence: 0.12
  Class: person, x: 190, y: 47, confidence: 0.12
  Class: person, x: 152, y: 88, confidence: 0.12
  Class: person, x: 136, y: 41, confidence: 0.12
  Class: person, x: 273, y: 68, confidence: 0.12
  Class: person, x: 244, y: 57, confidence: 0.12
  Class: person, x: 172, y: 55, confidence: 0.12
  Class: person, x: 323, y: 30, confidence: 0.12
  Class: person, x: 276, y: 55, confidence: 0.12
  Class: person, x: 353, y: 30, confidence: 0.12
  Class: person, x: 28, y: 77, confidence: 0.12
  Class: person, x: 249, y: 54, confidence: 0.12
  Class: person, x: 347, y: 58, confidence: 0.12
  Class: person, x: 160, y: 79, confidence: 0.12
  Class: person, x: 167, y: 63, confidence: 0.11
  Class: person, x: 233, y: 83, confidence: 0.11
  Class: person, x: 181, y: 63, confidence: 0.11
  Class: person, x: 340, y: 72, confidence: 0.11
  Class: person, x: 100, y: 41, confidence: 0.11
  Class: person, x: 181, y: 53, confidence: 0.11
  Class: person, x: 135, y: 52, confidence: 0.11
  Class: person, x: 269, y: 65, confidence: 0.11
  Class: person, x: 242, y: 94, confidence: 0.11
  Class: person, x: 199, y: 62, confidence: 0.11
  Class: person, x: 233, y: 72, confidence: 0.11
  Class: person, x: 59, y: 54, confidence: 0.11
  Class: person, x: 283, y: 58, confidence: 0.11
  Class: person, x: 188, y: 51, confidence: 0.11
  Class: person, x: 217, y: 47, confidence: 0.11
  Class: person, x: 131, y: 37, confidence: 0.1
  Class: person, x: 244, y: 51, confidence: 0.1
  Class: person, x: 187, y: 71, confidence: 0.1
  Class: person, x: 74, y: 71, confidence: 0.1
  Class: person, x: 196, y: 16, confidence: 0.1
  Class: person, x: 239, y: 86, confidence: 0.1
  Class: person, x: 175, y: 74, confidence: 0.1
  Class: person, x: 10, y: 100, confidence: 0.1
  Class: person, x: 273, y: 70, confidence: 0.1
  Class: person, x: 61, y: 23, confidence: 0.1
  Class: person, x: 292, y: 55, confidence: 0.1
  Class: person, x: 85, y: 75, confidence: 0.1
  Class: person, x: 200, y: 57, confidence: 0.09
  Class: person, x: 2, y: 90, confidence: 0.09
  Class: person, x: 325, y: 79, confidence: 0.09
  Class: person, x: 258, y: 61, confidence: 0.09
  Class: person, x: 334, y: 55, confidence: 0.09
  Class: person, x: 336, y: 37, confidence: 0.09
  Class: person, x: 348, y: 74, confidence: 0.09
  Class: person, x: 349, y: 25, confidence: 0.09
  Class: person, x: 235, y: 62, confidence: 0.09
  Class: person, x: 279, y: 68, confidence: 0.09
  Class: person, x: 141, y: 43, confidence: 0.09
  Class: person, x: 222, y: 43, confidence: 0.09
  Class: person, x: 118, y: 46, confidence: 0.09
  Class: person, x: 284, y: 53, confidence: 0.09
  Class: person, x: 254, y: 65, confidence: 0.09
  Class: person, x: 273, y: 78, confidence: 0.09
  Class: person, x: 275, y: 84, confidence: 0.09
  Class: person, x: 337, y: 32, confidence: 0.09
  Class: person, x: 141, y: 73, confidence: 0.09
  Class: person, x: 357, y: 42, confidence: 0.09
  Class: person, x: 88, y: 53, confidence: 0.09
  Class: person, x: 292, y: 69, confidence: 0.09
  Class: person, x: 104, y: 74, confidence: 0.09
  Class: person, x: 352, y: 75, confidence: 0.09
  Class: person, x: 141, y: 46, confidence: 0.08
  Class: person, x: 343, y: 92, confidence: 0.08
  Class: person, x: 177, y: 50, confidence: 0.08
  Class: person, x: 325, y: 68, confidence: 0.08
  Class: person, x: 27, y: 73, confidence: 0.08
  Class: person, x: 67, y: 62, confidence: 0.08
  Class: person, x: 358, y: 56, confidence: 0.08
  Class: person, x: 192, y: 57, confidence: 0.08
  Class: person, x: 274, y: 51, confidence: 0.08
  Class: person, x: 191, y: 76, confidence: 0.08
  Class: person, x: 177, y: 80, confidence: 0.08
  Class: person, x: 169, y: 88, confidence: 0.08
  Class: person, x: 238, y: 79, confidence: 0.08
  Class: person, x: 217, y: 67, confidence: 0.08
  Class: person, x: 291, y: 58, confidence: 0.08
  Class: person, x: 342, y: 47, confidence: 0.08
  Class: person, x: 240, y: 61, confidence: 0.08

Zone: zone_0_1
