Zone: zone_0_0
  Class: person, x: 344, y: 84, confidence: 0.37
  Class: person, x: 304, y: 67, confidence: 0.3
  Class: person, x: 334, y: 67, confidence: 0.27
  Class: person, x: 256, y: 81, confidence: 0.25
  Class: person, x: 301, y: 75, confidence: 0.24
  Class: person, x: 347, y: 50, confidence: 0.24
  Class: person, x: 259, y: 76, confidence: 0.24
  Class: person, x: 164, y: 51, confidence: 0.23
  Class: person, x: 298, y: 70, confidence: 0.23
  Class: person, x: 115, y: 83, confidence: 0.22
  Class: person, x: 282, y: 64, confidence: 0.22
  Class: person, x: 357, y: 83, confidence: 0.21
  Class: person, x: 50, y: 86, confidence: 0.21
  Class: person, x: 286, y: 66, confidence: 0.21
  Class: person, x: 352, y: 81, confidence: 0.21
  Class: person, x: 241, y: 78, confidence: 0.2
  Class: person, x: 220, y: 51, confidence: 0.2
  Class: person, x: 319, y: 69, confidence: 0.2
  Class: person, x: 229, y: 47, confidence: 0.2
  Class: person, x: 344, y: 87, confidence: 0.2
  Class: person, x: 251, y: 92, confidence: 0.19
  Class: person, x: 166, y: 24, confidence: 0.19
  Class: person, x: 289, y: 70, confidence: 0.19
  Class: person, x: 330, y: 75, confidence: 0.19
  Class: person, x: 129, y: 81, confidence: 0.18
  Class: person, x: 347, y: 80, confidence: 0.18
  Class: person, x: 245, y: 66, confidence: 0.18
  Class: person, x: 182, y: 53, confidence: 0.18
  Class: person, x: 37, y: 62, confidence: 0.18
  Class: person, x: 196, y: 89, confidence: 0.18
  Class: person, x: 186, y: 84, confidence: 0.17
  Class: person, x: 298, y: 58, confidence: 0.17
  Class: person, x: 290, y: 68, confidence: 0.17
  Class: person, x: 274, y: 15, confidence: 0.17
  Class: person, x: 255, y: 86, confidence: 0.17
  Class: person, x: 236, y: 75, confidence: 0.16
  Class: person, x: 349, y: 89, confidence: 0.16
  Class: person, x: 5, y: 97, confidence: 0.16
  Class: person, x: 257, y: 91, confidence: 0.16
  Class: person, x: 319, y: 30, confidence: 0.16
  Class: person, x: 207, y: 79, confidence: 0.16
  Class: person, x: 255, y: 74, confidence: 0.16
  Class: person, x: 294, y: 74, confidence: 0.15
  Class: person, x: 313, y: 74, confidence: 0.15
  Class: person, x: 277, y: 85, confidence: 0.15
  Class: person, x: 191, y: 51, confidence: 0.14
  Class: person, x: 343, y: 33, confidence: 0.14
  Class: person, x: 173, y: 19, confidence: 0.14
  Class: person, x: 279, y: 88, confidence: 0.14
  Class: person, x: 199, y: 70, confidence: 0.14
  Class: person, x: 267, y: 65, confidence: 0.14
  Class: person, x: 162, y: 100, confidence: 0.14
  Class: person, x: 357, y: 81, confidence: 0.13
  Class: person, x: 331, y: 65, confidence: 0.13
