Zone: zone_0_0
  Class: person, x: 295, y: 36, confidence: 0.41
  Class: person, x: 42, y: 38, confidence: 0.38
  Class: person, x: 60, y: 18, confidence: 0.37
  Class: person, x: 350, y: 18, confidence: 0.35
  Class: person, x: 308, y: 4, confidence: 0.32
  Class: person, x: 266, y: 19, confidence: 0.31
  Class: person, x: 326, y: 3, confidence: 0.3
  Class: person, x: 249, y: 15, confidence: 0.3
  Class: person, x: 286, y: 11, confidence: 0.26
  Class: person, x: 221, y: 4, confidence: 0.26
  Class: person, x: 88, y: 15, confidence: 0.26
  Class: person, x: 234, y: 18, confidence: 0.26
  Class: person, x: 87, y: 20, confidence: 0.26
  Class: person, x: 296, y: 3, confidence: 0.25
  Class: person, x: 145, y: 15, confidence: 0.25
  Class: person, x: 24, y: 18, confidence: 0.25
  Class: person, x: 3, y: 76, confidence: 0.25
  Class: person, x: 204, y: 91, confidence: 0.24
  Class: person, x: 211, y: 80, confidence: 0.24
  Class: person, x: 351, y: 13, confidence: 0.24
  Class: person, x: 202, y: 81, confidence: 0.24
  Class: person, x: 78, y: 31, confidence: 0.24
  Class: person, x: 37, y: 11, confidence: 0.23
  Class: person, x: 117, y: 27, confidence: 0.23
  Class: person, x: 304, y: 19, confidence: 0.23
  Class: person, x: 340, y: 7, confidence: 0.23
  Class: person, x: 246, y: 19, confidence: 0.23
  Class: person, x: 10, y: 99, confidence: 0.22
  Class: person, x: 43, y: 3, confidence: 0.22
  Class: person, x: 184, y: 36, confidence: 0.22
  Class: person, x: 142, y: 3, confidence: 0.21
  Class: person, x: 266, y: 30, confidence: 0.21
  Class: person, x: 302, y: 91, confidence: 0.21
  Class: person, x: 112, y: 3, confidence: 0.21
  Class: person, x: 204, y: 74, confidence: 0.2
  Class: person, x: 161, y: 12, confidence: 0.2
  Class: person, x: 76, y: 1, confidence: 0.2
  Class: person, x: 128, y: 5, confidence: 0.2
  Class: person, x: 192, y: 81, confidence: 0.2
  Class: person, x: 87, y: 3, confidence: 0.19
  Class: person, x: 321, y: 21, confidence: 0.19
  Class: person, x: 231, y: 84, confidence: 0.19
  Class: person, x: 296, y: 10, confidence: 0.19
  Class: person, x: 96, y: 18, confidence: 0.18
  Class: person, x: 148, y: 97, confidence: 0.17
  Class: person, x: 357, y: 50, confidence: 0.17
  Class: person, x: 70, y: 1, confidence: 0.16
  Class: person, x: 98, y: 1, confidence: 0.16
  Class: person, x: 329, y: 89, confidence: 0.16
  Class: person, x: 69, y: 82, confidence: 0.16
  Class: person, x: 145, y: 79, confidence: 0.16
  Class: person, x: 290, y: 26, confidence: 0.15
  Class: person, x: 182, y: 81, confidence: 0.15
  Class: person, x: 196, y: 92, confidence: 0.15
  Class: person, x: 126, y: 21, confidence: 0.15
  Class: person, x: 147, y: 19, confidence: 0.14
  Class: person, x: 54, y: 1, confidence: 0.14
  Class: person, x: 5, y: 22, confidence: 0.13
  Class: person, x: 213, y: 18, confidence: 0.13
  Class: person, x: 34, y: 6, confidence: 0.13
  Class: person, x: 201, y: 11, confidence: 0.13
  Class: person, x: 310, y: 85, confidence: 0.13
  Class: person, x: 178, y: 5, confidence: 0.13
  Class: person, x: 211, y: 85, confidence: 0.13
  Class: person, x: 101, y: 23, confidence: 0.12
  Class: person, x: 117, y: 90, confidence: 0.12
  Class: person, x: 72, y: 14, confidence: 0.12
  Class: person, x: 137, y: 88, confidence: 0.12
  Class: person, x: 217, y: 100, confidence: 0.12
  Class: person, x: 133, y: 99, confidence: 0.12
  Class: person, x: 55, y: 91, confidence: 0.11
  Class: person, x: 154, y: 1, confidence: 0.11
  Class: person, x: 29, y: 23, confidence: 0.11
  Class: person, x: 314, y: 92, confidence: 0.11
  Class: person, x: 85, y: 93, confidence: 0.11
  Class: person, x: 108, y: 28, confidence: 0.11
  Class: person, x: 124, y: 8, confidence: 0.11
  Class: person, x: 228, y: 88, confidence: 0.11
  Class: person, x: 342, y: 31, confidence: 0.11
  Class: person, x: 5, y: 69, confidence: 0.11
  Class: person, x: 354, y: 63, confidence: 0.11
  Class: person, x: 57, y: 86, confidence: 0.11
  Class: person, x: 299, y: 100, confidence: 0.11
  Class: person, x: 158, y: 82, confidence: 0.11
  Class: person, x: 87, y: 27, confidence: 0.11
  Class: person, x: 156, y: 18, confidence: 0.11
  Class: person, x: 236, y: 1, confidence: 0.11
  Class: person, x: 26, y: 1, confidence: 0.1
  Class: person, x: 120, y: 4, confidence: 0.1
  Class: person, x: 63, y: 11, confidence: 0.1
  Class: person, x: 333, y: 69, confidence: 0.1
  Class: person, x: 294, y: 21, confidence: 0.1
  Class: person, x: 163, y: 8, confidence: 0.1
  Class: person, x: 178, y: 98, confidence: 0.1
  Class: person, x: 282, y: 26, confidence: 0.1
  Class: person, x: 40, y: 23, confidence: 0.1
  Class: person, x: 20, y: 24, confidence: 0.1
