Zone: zone_0_0
  Class: person, x: 73, y: 16, confidence: 0.31
  Class: person, x: 168, y: 9, confidence: 0.3
  Class: person, x: 241, y: 88, confidence: 0.27
  Class: person, x: 190, y: 24, confidence: 0.27
  Class: person, x: 264, y: 27, confidence: 0.26
  Class: person, x: 179, y: 8, confidence: 0.26
  Class: person, x: 47, y: 84, confidence: 0.25
  Class: person, x: 157, y: 21, confidence: 0.25
  Class: person, x: 349, y: 16, confidence: 0.25
  Class: person, x: 331, y: 92, confidence: 0.25
  Class: person, x: 100, y: 4, confidence: 0.25
  Class: person, x: 236, y: 82, confidence: 0.24
  Class: person, x: 159, y: 4, confidence: 0.24
  Class: person, x: 338, y: 99, confidence: 0.24
  Class: person, x: 200, y: 20, confidence: 0.24
  Class: person, x: 99, y: 30, confidence: 0.24
  Class: person, x: 17, y: 16, confidence: 0.24
  Class: person, x: 43, y: 8, confidence: 0.23
  Class: person, x: 158, y: 7, confidence: 0.22
  Class: person, x: 123, y: 4, confidence: 0.22
  Class: person, x: 245, y: 29, confidence: 0.22
  Class: person, x: 159, y: 11, confidence: 0.21
  Class: person, x: 327, y: 98, confidence: 0.21
  Class: person, x: 86, y: 6, confidence: 0.21
  Class: person, x: 166, y: 1, confidence: 0.2
  Class: person, x: 67, y: 6, confidence: 0.2
  Class: person, x: 81, y: 14, confidence: 0.2
  Class: person, x: 231, y: 23, confidence: 0.2
  Class: person, x: 71, y: 24, confidence: 0.19
  Class: person, x: 165, y: 23, confidence: 0.19
  Class: person, x: 334, y: 92, confidence: 0.19
  Class: person, x: 38, y: 44, confidence: 0.18
  Class: person, x: 132, y: 7, confidence: 0.18
  Class: person, x: 19, y: 31, confidence: 0.18
  Class: person, x: 43, y: 95, confidence: 0.17
  Class: person, x: 128, y: 4, confidence: 0.17
  Class: person, x: 289, y: 24, confidence: 0.17
  Class: person, x: 129, y: 13, confidence: 0.17
  Class: person, x: 126, y: 27, confidence: 0.16
  Class: person, x: 96, y: 98, confidence: 0.16
  Class: person, x: 19, y: 95, confidence: 0.16
  Class: person, x: 192, y: 13, confidence: 0.16
  Class: person, x: 70, y: 34, confidence: 0.16
  Class: person, x: 212, y: 11, confidence: 0.16
  Class: person, x: 233, y: 89, confidence: 0.16
  Class: person, x: 140, y: 9, confidence: 0.16
  Class: person, x: 345, y: 19, confidence: 0.15
  Class: person, x: 156, y: 16, confidence: 0.15
  Class: person, x: 38, y: 16, confidence: 0.15
  Class: person, x: 224, y: 3, confidence: 0.15
  Class: person, x: 14, y: 90, confidence: 0.15
  Class: person, x: 191, y: 4, confidence: 0.14
  Class: person, x: 216, y: 47, confidence: 0.14
  Class: person, x: 221, y: 12, confidence: 0.14
  Class: person, x: 194, y: 97, confidence: 0.14
  Class: person, x: 224, y: 89, confidence: 0.14
  Class: person, x: 144, y: 20, confidence: 0.13
  Class: person, x: 88, y: 23, confidence: 0.13
  Class: person, x: 190, y: 30, confidence: 0.13
  Class: person, x: 175, y: 95, confidence: 0.13
  Class: person, x: 127, y: 32, confidence: 0.13
  Class: person, x: 259, y: 91, confidence: 0.13
  Class: person, x: 33, y: 96, confidence: 0.13
  Class: person, x: 265, y: 6, confidence: 0.13
  Class: person, x: 194, y: 90, confidence: 0.13
  Class: person, x: 179, y: 12, confidence: 0.13
  Class: person, x: 183, y: 95, confidence: 0.12
  Class: person, x: 208, y: 1, confidence: 0.12
  Class: person, x: 119, y: 9, confidence: 0.12
  Class: person, x: 77, y: 97, confidence: 0.12
  Class: person, x: 6, y: 80, confidence: 0.12
  Class: person, x: 357, y: 31, confidence: 0.12
  Class: person, x: 214, y: 89, confidence: 0.12
  Class: person, x: 42, y: 100, confidence: 0.12
  Class: person, x: 228, y: 99, confidence: 0.12
  Class: person, x: 355, y: 25, confidence: 0.11
  Class: person, x: 62, y: 35, confidence: 0.11
  Class: person, x: 327, y: 16, confidence: 0.11
  Class: person, x: 333, y: 15, confidence: 0.11
  Class: person, x: 275, y: 90, confidence: 0.11
  Class: person, x: 53, y: 94, confidence: 0.11
  Class: person, x: 258, y: 95, confidence: 0.11
  Class: person, x: 176, y: 29, confidence: 0.11
  Class: person, x: 47, y: 6, confidence: 0.11
  Class: person, x: 253, y: 84, confidence: 0.11
  Class: person, x: 249, y: 86, confidence: 0.11
  Class: person, x: 9, y: 17, confidence: 0.11
  Class: person, x: 12, y: 25, confidence: 0.11
  Class: person, x: 3, y: 98, confidence: 0.11
  Class: person, x: 234, y: 97, confidence: 0.11
  Class: person, x: 320, y: 3, confidence: 0.1
  Class: person, x: 251, y: 9, confidence: 0.1
  Class: person, x: 50, y: 17, confidence: 0.1
  Class: person, x: 102, y: 11, confidence: 0.1
  Class: person, x: 35, y: 9, confidence: 0.1
  Class: person, x: 294, y: 40, confidence: 0.1
  Class: person, x: 294, y: 19, confidence: 0.1
  Class: person, x: 139, y: 16, confidence: 0.1
  Class: person, x: 201, y: 9, confidence: 0.1
  Class: person, x: 70, y: 28, confidence: 0.1
  Class: person, x: 319, y: 98, confidence: 0.1
  Class: person, x: 76, y: 10, confidence: 0.1
  Class: person, x: 113, y: 10, confidence: 0.1
  Class: person, x: 31, y: 91, confidence: 0.09
  Class: person, x: 55, y: 1, confidence: 0.09
  Class: person, x: 201, y: 5, confidence: 0.09
  Class: person, x: 237, y: 35, confidence: 0.09
  Class: person, x: 45, y: 22, confidence: 0.09
  Class: person, x: 242, y: 93, confidence: 0.09
  Class: person, x: 55, y: 12, confidence: 0.09
  Class: person, x: 138, y: 13, confidence: 0.09
  Class: person, x: 151, y: 16, confidence: 0.09
  Class: person, x: 136, y: 5, confidence: 0.09
  Class: person, x: 241, y: 4, confidence: 0.09
  Class: person, x: 152, y: 30, confidence: 0.09
  Class: person, x: 185, y: 12, confidence: 0.09
  Class: person, x: 248, y: 100, confidence: 0.09
  Class: person, x: 22, y: 90, confidence: 0.09
  Class: person, x: 151, y: 10, confidence: 0.09
  Class: person, x: 317, y: 15, confidence: 0.09
  Class: person, x: 125, y: 38, confidence: 0.09
  Class: person, x: 51, y: 100, confidence: 0.08
  Class: person, x: 154, y: 97, confidence: 0.08
  Class: person, x: 20, y: 100, confidence: 0.08
  Class: person, x: 272, y: 84, confidence: 0.08
  Class: person, x: 173, y: 19, confidence: 0.08
  Class: person, x: 309, y: 15, confidence: 0.08
  Class: person, x: 3, y: 14, confidence: 0.08
  Class: person, x: 181, y: 99, confidence: 0.08
  Class: person, x: 87, y: 19, confidence: 0.08
  Class: person, x: 204, y: 45, confidence: 0.08

Zone: zone_0_1
  Class: person, x: 783, y: 21, confidence: 0.45
  Class: person, x: 807, y: 1, confidence: 0.41
  Class: person, x: 771, y: 9, confidence: 0.33
  Class: person, x: 829, y: 29, confidence: 0.32
  Class: person, x: 729, y: 52, confidence: 0.28
  Class: person, x: 774, y: 13, confidence: 0.28
  Class: person, x: 709, y: 64, confidence: 0.27
  Class: person, x: 782, y: 34, confidence: 0.25
  Class: person, x: 734, y: 32, confidence: 0.25
  Class: person, x: 753, y: 16, confidence: 0.24
  Class: person, x: 803, y: 15, confidence: 0.24
  Class: person, x: 764, y: 5, confidence: 0.24
  Class: person, x: 567, y: 88, confidence: 0.22
  Class: person, x: 767, y: 31, confidence: 0.22
  Class: person, x: 823, y: 30, confidence: 0.22
  Class: person, x: 774, y: 30, confidence: 0.21
  Class: person, x: 801, y: 29, confidence: 0.21
  Class: person, x: 756, y: 30, confidence: 0.21
  Class: person, x: 833, y: 10, confidence: 0.21
  Class: person, x: 510, y: 86, confidence: 0.21
  Class: person, x: 832, y: 24, confidence: 0.21
  Class: person, x: 778, y: 10, confidence: 0.21
  Class: person, x: 799, y: 22, confidence: 0.21
  Class: person, x: 772, y: 23, confidence: 0.2
  Class: person, x: 565, y: 14, confidence: 0.2
  Class: person, x: 523, y: 94, confidence: 0.2
  Class: person, x: 627, y: 70, confidence: 0.2
  Class: person, x: 538, y: 97, confidence: 0.2
  Class: person, x: 778, y: 26, confidence: 0.2
  Class: person, x: 778, y: 4, confidence: 0.2
  Class: person, x: 819, y: 7, confidence: 0.19
  Class: person, x: 767, y: 17, confidence: 0.19
  Class: person, x: 793, y: 20, confidence: 0.19
  Class: person, x: 787, y: 3, confidence: 0.19
  Class: person, x: 808, y: 20, confidence: 0.19
  Class: person, x: 808, y: 23, confidence: 0.19
  Class: person, x: 513, y: 59, confidence: 0.18
  Class: person, x: 600, y: 95, confidence: 0.18
  Class: person, x: 790, y: 10, confidence: 0.18
  Class: person, x: 739, y: 44, confidence: 0.17
  Class: person, x: 712, y: 70, confidence: 0.17
  Class: person, x: 549, y: 7, confidence: 0.16
  Class: person, x: 748, y: 26, confidence: 0.16
  Class: person, x: 558, y: 92, confidence: 0.16
  Class: person, x: 710, y: 96, confidence: 0.16
  Class: person, x: 811, y: 17, confidence: 0.16
  Class: person, x: 649, y: 96, confidence: 0.16
  Class: person, x: 744, y: 37, confidence: 0.16
  Class: person, x: 567, y: 0, confidence: 0.15
  Class: person, x: 708, y: 92, confidence: 0.15
  Class: person, x: 625, y: 30, confidence: 0.14
  Class: person, x: 514, y: 94, confidence: 0.14
