Zone: zone_0_0
  Class: person, x: 81, y: 24, confidence: 0.45
  Class: person, x: 211, y: 20, confidence: 0.36
  Class: person, x: 241, y: 23, confidence: 0.34
  Class: person, x: 312, y: 4, confidence: 0.32
  Class: person, x: 344, y: 12, confidence: 0.31
  Class: person, x: 114, y: 5, confidence: 0.3
  Class: person, x: 330, y: 9, confidence: 0.28
  Class: person, x: 66, y: 5, confidence: 0.26
  Class: person, x: 353, y: 21, confidence: 0.26
  Class: person, x: 253, y: 24, confidence: 0.26
  Class: person, x: 221, y: 78, confidence: 0.25
  Class: person, x: 60, y: 9, confidence: 0.25
  Class: person, x: 48, y: 24, confidence: 0.25
  Class: person, x: 46, y: 14, confidence: 0.24
  Class: person, x: 204, y: 5, confidence: 0.23
  Class: person, x: 259, y: 21, confidence: 0.23
  Class: person, x: 154, y: 10, confidence: 0.23
  Class: person, x: 237, y: 30, confidence: 0.23
  Class: person, x: 62, y: 17, confidence: 0.22
  Class: person, x: 101, y: 5, confidence: 0.21
  Class: person, x: 60, y: 4, confidence: 0.21
  Class: person, x: 138, y: 4, confidence: 0.2
  Class: person, x: 218, y: 85, confidence: 0.2
  Class: person, x: 220, y: 18, confidence: 0.19
  Class: person, x: 316, y: 94, confidence: 0.19
  Class: person, x: 3, y: 11, confidence: 0.19
  Class: person, x: 341, y: 2, confidence: 0.19
  Class: person, x: 227, y: 84, confidence: 0.19
  Class: person, x: 278, y: 23, confidence: 0.19
  Class: person, x: 164, y: 21, confidence: 0.18
  Class: person, x: 57, y: 21, confidence: 0.18
  Class: person, x: 316, y: 26, confidence: 0.18
  Class: person, x: 214, y: 6, confidence: 0.18
  Class: person, x: 319, y: 88, confidence: 0.17
  Class: person, x: 26, y: 80, confidence: 0.17
  Class: person, x: 119, y: 3, confidence: 0.17
  Class: person, x: 220, y: 94, confidence: 0.16
  Class: person, x: 282, y: 15, confidence: 0.16
  Class: person, x: 145, y: 4, confidence: 0.16
  Class: person, x: 73, y: 8, confidence: 0.16
  Class: person, x: 164, y: 83, confidence: 0.15
  Class: person, x: 63, y: 43, confidence: 0.15
  Class: person, x: 14, y: 92, confidence: 0.15
  Class: person, x: 108, y: 20, confidence: 0.15
  Class: person, x: 101, y: 2, confidence: 0.15
  Class: person, x: 103, y: 11, confidence: 0.15
  Class: person, x: 177, y: 17, confidence: 0.14
  Class: person, x: 313, y: 9, confidence: 0.14
  Class: person, x: 114, y: 9, confidence: 0.14
  Class: person, x: 296, y: 14, confidence: 0.14
  Class: person, x: 178, y: 86, confidence: 0.13
  Class: person, x: 186, y: 12, confidence: 0.13
  Class: person, x: 55, y: 1, confidence: 0.13
  Class: person, x: 205, y: 90, confidence: 0.13
  Class: person, x: 30, y: 2, confidence: 0.13
  Class: person, x: 105, y: 15, confidence: 0.13
  Class: person, x: 141, y: 1, confidence: 0.13
  Class: person, x: 117, y: 1, confidence: 0.13
  Class: person, x: 209, y: 85, confidence: 0.13
  Class: person, x: 246, y: 36, confidence: 0.13
  Class: person, x: 107, y: 26, confidence: 0.13
  Class: person, x: 166, y: 24, confidence: 0.13
  Class: person, x: 333, y: 26, confidence: 0.12
  Class: person, x: 145, y: 10, confidence: 0.12
  Class: person, x: 326, y: 2, confidence: 0.12
  Class: person, x: 273, y: 35, confidence: 0.12
  Class: person, x: 54, y: 33, confidence: 0.12
  Class: person, x: 100, y: 23, confidence: 0.12
  Class: person, x: 12, y: 81, confidence: 0.12
  Class: person, x: 176, y: 23, confidence: 0.12
  Class: person, x: 4, y: 100, confidence: 0.12
  Class: person, x: 155, y: 100, confidence: 0.11
  Class: person, x: 246, y: 87, confidence: 0.11
  Class: person, x: 173, y: 13, confidence: 0.11
  Class: person, x: 91, y: 3, confidence: 0.11
  Class: person, x: 92, y: 21, confidence: 0.11
  Class: person, x: 251, y: 29, confidence: 0.11
  Class: person, x: 116, y: 34, confidence: 0.11
  Class: person, x: 129, y: 12, confidence: 0.11
  Class: person, x: 76, y: 16, confidence: 0.11
  Class: person, x: 258, y: 87, confidence: 0.11
  Class: person, x: 213, y: 95, confidence: 0.11
  Class: person, x: 166, y: 100, confidence: 0.11
