Zone: zone_0_0
  Class: person, x: 195, y: 54, confidence: 0.36
  Class: person, x: 335, y: 55, confidence: 0.29
  Class: person, x: 210, y: 63, confidence: 0.24
  Class: person, x: 5, y: 59, confidence: 0.24
  Class: person, x: 204, y: 76, confidence: 0.23
  Class: person, x: 8, y: 100, confidence: 0.21
  Class: person, x: 154, y: 51, confidence: 0.2
  Class: person, x: 170, y: 75, confidence: 0.2
  Class: person, x: 177, y: 45, confidence: 0.2
  Class: person, x: 274, y: 16, confidence: 0.19
  Class: person, x: 163, y: 45, confidence: 0.18
  Class: person, x: 163, y: 38, confidence: 0.18
  Class: person, x: 192, y: 74, confidence: 0.18
  Class: person, x: 5, y: 12, confidence: 0.18
  Class: person, x: 232, y: 39, confidence: 0.18
  Class: person, x: 69, y: 65, confidence: 0.18
  Class: person, x: 128, y: 33, confidence: 0.17
  Class: person, x: 18, y: 67, confidence: 0.17
  Class: person, x: 312, y: 64, confidence: 0.16
  Class: person, x: 232, y: 56, confidence: 0.16
  Class: person, x: 211, y: 70, confidence: 0.16
  Class: person, x: 321, y: 21, confidence: 0.16
  Class: person, x: 319, y: 61, confidence: 0.16
  Class: person, x: 226, y: 58, confidence: 0.16
  Class: person, x: 200, y: 55, confidence: 0.16
  Class: person, x: 169, y: 31, confidence: 0.15
  Class: person, x: 230, y: 48, confidence: 0.15
  Class: person, x: 235, y: 72, confidence: 0.15
  Class: person, x: 226, y: 1, confidence: 0.15
  Class: person, x: 254, y: 31, confidence: 0.15
  Class: person, x: 325, y: 38, confidence: 0.14
  Class: person, x: 141, y: 14, confidence: 0.14
  Class: person, x: 343, y: 49, confidence: 0.14
  Class: person, x: 28, y: 44, confidence: 0.14
  Class: person, x: 2, y: 96, confidence: 0.14
  Class: person, x: 210, y: 75, confidence: 0.13
  Class: person, x: 122, y: 58, confidence: 0.13
  Class: person, x: 174, y: 53, confidence: 0.13
  Class: person, x: 307, y: 24, confidence: 0.13
  Class: person, x: 291, y: 56, confidence: 0.13
  Class: person, x: 325, y: 18, confidence: 0.13
  Class: person, x: 252, y: 49, confidence: 0.13
  Class: person, x: 159, y: 66, confidence: 0.12
  Class: person, x: 354, y: 33, confidence: 0.12
  Class: person, x: 330, y: 62, confidence: 0.12
  Class: person, x: 265, y: 4, confidence: 0.12
  Class: person, x: 203, y: 14, confidence: 0.12
  Class: person, x: 109, y: 31, confidence: 0.12
  Class: person, x: 181, y: 22, confidence: 0.12
  Class: person, x: 279, y: 8, confidence: 0.12
  Class: person, x: 183, y: 52, confidence: 0.12
  Class: person, x: 184, y: 63, confidence: 0.12
  Class: person, x: 202, y: 57, confidence: 0.11
  Class: person, x: 55, y: 66, confidence: 0.11
  Class: person, x: 46, y: 62, confidence: 0.11
  Class: person, x: 208, y: 57, confidence: 0.11
  Class: person, x: 236, y: 68, confidence: 0.11
  Class: person, x: 73, y: 58, confidence: 0.11
