Zone: zone_0_0
  Class: person, x: 11, y: 96, confidence: 0.35
  Class: person, x: 309, y: 65, confidence: 0.33
  Class: person, x: 268, y: 84, confidence: 0.33
  Class: person, x: 3, y: 78, confidence: 0.32
  Class: person, x: 19, y: 58, confidence: 0.28
  Class: person, x: 245, y: 83, confidence: 0.26
  Class: person, x: 283, y: 64, confidence: 0.25
  Class: person, x: 149, y: 84, confidence: 0.25
  Class: person, x: 271, y: 68, confidence: 0.23
  Class: person, x: 352, y: 52, confidence: 0.23
  Class: person, x: 285, y: 53, confidence: 0.23
  Class: person, x: 267, y: 90, confidence: 0.22
  Class: person, x: 240, y: 88, confidence: 0.22
  Class: person, x: 123, y: 36, confidence: 0.21
  Class: person, x: 81, y: 77, confidence: 0.21
  Class: person, x: 8, y: 80, confidence: 0.21
  Class: person, x: 348, y: 63, confidence: 0.21
  Class: person, x: 305, y: 32, confidence: 0.21
  Class: person, x: 246, y: 87, confidence: 0.21
  Class: person, x: 300, y: 39, confidence: 0.21
  Class: person, x: 286, y: 69, confidence: 0.2
  Class: person, x: 249, y: 70, confidence: 0.19
  Class: person, x: 294, y: 71, confidence: 0.19
  Class: person, x: 204, y: 52, confidence: 0.19
  Class: person, x: 337, y: 77, confidence: 0.19
  Class: person, x: 310, y: 25, confidence: 0.19
  Class: person, x: 281, y: 71, confidence: 0.19
  Class: person, x: 142, y: 69, confidence: 0.19
  Class: person, x: 183, y: 85, confidence: 0.18
  Class: person, x: 253, y: 62, confidence: 0.18
  Class: person, x: 232, y: 52, confidence: 0.18
  Class: person, x: 290, y: 65, confidence: 0.18
  Class: person, x: 345, y: 70, confidence: 0.17
  Class: person, x: 311, y: 61, confidence: 0.17
  Class: person, x: 58, y: 64, confidence: 0.17
  Class: person, x: 298, y: 63, confidence: 0.17
  Class: person, x: 281, y: 65, confidence: 0.17
  Class: person, x: 290, y: 62, confidence: 0.16
  Class: person, x: 189, y: 66, confidence: 0.16
  Class: person, x: 318, y: 80, confidence: 0.16
